模块,输出字段,单位,当前结果预览,证据状态,核验层级,访问层级
基础锚点,电池型号,文本,SXP-CTP-PACK-DEMO-01,型号注册表,内部确认,受限
基础锚点,产品报告期,文本,2025Q4,排产记录,方法复核,受限
基础锚点,上游材料报告期,文本,2025Q4,供应商报告期记录,方法复核,受限
铝材模块,铝材供应商安装点 ID,文本,AL-SUP-001,供应商安装点主数据,供应商核验/抽查,受限
铝材模块,铝材质量(kg),kg,80,BOM,内部确认,受限
铝材模块,铝材直接排放因子(kgCO2e/kg),kgCO2e/kg,9.0,supplier PCF / 安装点数据,供应商核验/抽查,受限
铝材模块,铝材间接排放因子(kgCO2e/kg),kgCO2e/kg,5.0,supplier PCF / 电力因子,供应商核验/抽查,受限
铝材模块,铝材总嵌入排放(kgCO2e/pack),kgCO2e/pack,1120.0,安装点数据+PCF,供应商核验/抽查,受限
铝材模块,铝材核验状态,文本,已核验,供应商核验报告,供应商核验/抽查,受限
钢材模块,钢材供应商安装点 ID,文本,ST-SUP-001,供应商安装点主数据,供应商核验/抽查,受限
钢材模块,钢材质量(kg),kg,30,BOM,内部确认,受限
钢材模块,钢材直接排放因子(kgCO2e/kg),kgCO2e/kg,2.0,supplier PCF / 安装点数据,供应商核验/抽查,受限
钢材模块,钢材间接排放因子(kgCO2e/kg),kgCO2e/kg,0.7,supplier PCF / 电力因子,供应商核验/抽查,受限
钢材模块,钢材总嵌入排放(kgCO2e/pack),kgCO2e/pack,81.0,安装点数据+PCF,供应商核验/抽查,受限
钢材模块,钢材核验状态,文本,已核验,供应商核验报告,供应商核验/抽查,受限
汇总,覆盖材料总嵌入排放(kgCO2e/pack),kgCO2e/pack,1201.0,铝材+钢材汇总,供应商核验/抽查,受限
汇总,覆盖材料占整包总排放比重,%,34.1%,铝材+钢材汇总,系统计算,内部
汇总,供应商 PCF 覆盖率,%,76.0%,supplier PCF 报告,第三方抽查,内部
综合状态,CBAM 兼容输出完备度,%,100.0%,多字段综合判断,系统计算,内部
综合状态,CBAM 兼容输出结论,文本,可作为上游碳数据兼容模块展示,多字段综合判断,系统计算,内部
