domain,source_regime,source_field,source_granularity,target_regime,target_field,target_granularity,mapping_type,required_evidence,assurance_requirement,confidentiality_level,hku_note
basic_identity,CATL ESG/Annual Report,Company legal name,entity,EU Battery Regulation,manufacturer/importer identification,entity,direct,corporate registration and annual report,none,public,Can map directly but not sufficient for product conformity
basic_identity,CATL internal product master,battery model identifier,model,EU Battery Regulation,battery model identifier,model,direct,product master data and model registry,internal control,restricted,Must become the anchor key for all downstream mapping
basic_identity,CATL internal plant register,manufacturing base name,plant,EU Battery Regulation,manufacturing plant,plant,direct,plant master data and internal registry,internal control,restricted,Every battery model must be bound to one or more specific plants
basic_identity,CATL internal serialisation system,battery serial or pack identifier,battery,EU Battery Regulation,individual battery identifier,battery,direct,serialisation records and genealogy data,system assurance,restricted,Needed for individual-battery restricted passport layer
reporting_period,Mainland Exchange/HKEX,annual reporting period,entity,EU Battery Regulation,carbon footprint reporting period,model+plant,transformed,reporting calendar plus production period mapping,method review,restricted,Need to convert annual reporting cycle to product-model and plant-specific cycle
materiality,Mainland Exchange rules,financial and impact materiality,entity,HKU conversion system,mapping relevance flag,field,transformed,materiality memo and topic assessment,none,internal_only,Useful for prioritising source fields but not a direct EU target field
ghg_scope1,CATL Carbon Accounting Report,Scope 1 emissions,entity/plant,EU Battery Regulation,direct emissions attributable to battery model,model+plant,transformed,stationary mobile fugitive activity data plus allocation logic,third-party verification or verifier-facing review,confidential,Entity total cannot be used directly and requires allocation to model and plant
ghg_scope2,CATL Carbon Accounting Report,Scope 2 emissions,entity/plant,EU Battery Regulation,indirect electricity emissions attributable to battery model,model+plant,transformed,electricity invoices metering data renewable electricity certificates,third-party verification or verifier-facing review,confidential,Electricity mix must be tied to the specific manufacturing plant
ghg_scope3,CATL Carbon Accounting Report,Scope 3 purchased goods and services,entity,EU Battery Regulation,upstream precursor and material embedded emissions,material/model+plant,transformed,ERP procurement data supplier PCF data BOM linkage,third-party verification,highly_confidential,Needs lifecycle-stage translation rather than direct carryover
ghg_scope3,CATL Carbon Accounting Report,upstream transportation and distribution,entity,EU Battery Regulation,transport-stage carbon contribution,stage/model+plant,transformed,shipment data route distance mode factors,method review,restricted,Transport categories must be restated as lifecycle stages
ghg_scope3,CATL Carbon Accounting Report,waste generated in operations,plant,EU Battery Regulation,manufacturing waste treatment contribution,stage/model+plant,transformed,waste ledger treatment contracts disposal factors,verification if material,restricted,Useful only after linking plant waste streams to model output
boundary,Mainland Exchange rules,consolidation method equity or financial or operational control,entity,CATL internal product PCF model,boundary selection memo,model+plant,transformed,boundary memo and control-policy evidence,method review,restricted,Separate issuer reporting boundary from product carbon boundary
