目标制度,目标字段,主要证据,触发逻辑,证据状态
EU,制造商名称,营业执照 / 年报,有主体名称即通过,证据齐备
EU,电池型号,型号注册表 / 产品主数据,有型号即通过,证据齐备
EU,制造工厂代码,工厂注册表 / 生产登记,有工厂代码即通过,证据齐备
EU,声明总碳足迹(kgCO2e/kWh),PCF 研究底稿 / BOM / 能耗 / 运输 / 回收数据,PCF 底稿齐备且容量>0,证据齐备
EU,再生锂占比,质量平衡 / 供应商声明,有再生锂输入即通过,证据齐备
EU,尽调政策链接,政策文件 / 官网链接,有链接即通过,证据齐备
EU,供应链追溯覆盖率,追溯台账 / 供应商台账,覆盖率>=80%,证据齐备
EU,测试报告状态,测试报告原件,状态=齐备,证据齐备
EU,技术文档状态,图纸 / 说明书 / 计算书,状态=齐备,证据齐备
EU,护照对象 ID,结构化数据包 / 接口对象,护照数据包=齐备,证据齐备
CBAM,铝材总嵌入排放(kgCO2e/pack),铝材安装点数据 / supplier PCF / verifier 报告,安装点存在且已核验,证据齐备
CBAM,钢材总嵌入排放(kgCO2e/pack),钢材安装点数据 / supplier PCF / verifier 报告,安装点存在且已核验,证据齐备
CBAM,覆盖材料总嵌入排放(kgCO2e/pack),铝材与钢材证据同时齐备,两类材料都已核验,证据齐备
CBAM,供应商 PCF 覆盖率,supplier PCF 报告 / 声明,覆盖率>=70%,证据齐备
