主要来源,CATL 当前公开披露架构,当前公开对象/粒度,当前公开示例,在我们系统中的角色,可以直接引用什么,必须拆分成什么明细数据,更适合进入哪一层映射,判断
2025 ESG 报告；2025 港股上市文件,公司基本身份与业务范围,公司/entity 级,公司名称、主营业务、全球零碳新能源科技公司定位、业务范围,作为系统最外层的公司身份锚点,制造商名称、公司简介、业务范围、总部与联系方式,电池型号代码、产品类别、化学体系、具体 demo 产品名,字段映射,公司级字段可直接引用，但不能替代产品主数据
2025 ESG 报告“全球布局”；2023 碳排放核算报告表 1,全球布局与生产基地清单,公司/子公司/基地级,江苏时代、四川时代、福鼎时代、图林根时代等名单,可作为 plant 候选池和试点工厂来源,基地名称、基地名单、核心运营范围,manufacturing plant code、plant-country、plant-to-model 绑定关系、对应报告期,字段映射 + 证据映射,可部分引用，但必须从“基地名”继续拆到“具体制造工厂代码和产品绑定”
2025 ESG 报告“报告范围”；2022/2023 碳排放核算报告,合并报表范围、组织边界与运营控制权法,公司/group 级方法说明,与合并财务报表范围一致；运营控制权法；核心运营范围,作为边界说明和方法论底稿,边界选择逻辑、组织边界说明,battery model + manufacturing plant 的产品系统边界、纳入/排除逻辑、单产品声明周期,字段映射 + 证据映射,适合作为方法论底稿，不适合直接当成 EU 产品边界输出
2025 ESG 报告第 2 章,可持续治理、CSMC、双重重要性与尽职调查架构,公司治理级,CSMC、理事会、ESG 专员、双重重要性、尽职调查流程,用于证明公司具备治理基础,尽调政策链接、治理架构说明、责任部门设置,字段 owner、证据 owner、审批链、对外披露与监管查看的权限矩阵,核验映射 + 权限映射,治理叙事可直接用作背景，但真正报送时仍需拆成字段责任链
2025 ESG 报告“零碳领航”章节,零碳战略与核心运营碳中和成果,公司/core operations 级,2025 核心运营碳中和、2035 价值链碳中和、9 座零碳工厂、100%核心运营零碳电力,作为外部说服力与战略锚点,目标年份、零碳工厂数量、核心运营零碳电力比例,每座工厂的认证证书编号、认证范围、有效期、核查方法、工厂级电力结构,证据映射 + 核验映射,战略目标能直接引用，但认证证据必须拆到 plant 级
2025 ESG 数据表；2023 ESG 报告；2023 碳排放核算报告,年度 ESG 量化指标中的范围一/二/总量数据,公司级年度总量,Total Scope 1 / Scope 2 / total GHG emissions,适合作为企业级碳管理基线,公司年度范围一/二/总量、趋势变化,plant 级范围一/二、工艺分摊逻辑、model 级 kgCO2e/pack 与 kgCO2e/kWh,字段映射 + 证据映射,不能直接拿去填欧盟电池法或 CBAM 输出，只能作为上层基线
2023 碳排放核算报告表 2、表 3；2022 Carbon Accounting Report Table 2、3,碳核算报告中的排放分类与活动数据来源,组织级方法 + 数据源家族,天然气、电力、蒸汽、ERP 采购量、物流供应商数据、差旅系统、员工通勤问卷,这是最适合转成输入模板的数据骨架,排放源类别、活动数据来源、核算因子来源,每个 plant 每个 model 的能耗、物料、运输、供应商 PCF、报告期、证据文件编号,证据映射,这部分非常有价值，但必须从“数据家族”拆成“单字段输入项”
2023 碳排放核算报告表 4、表 5,按公司及子公司划分的排放占比与核查覆盖,子公司/基地级,按子公司占比展示排放；15 家核查主体约覆盖 97% 核心运营排放,适合帮助选 pilot plant,高排放基地优先级、哪些基地已核查,具体工厂的绝对排放值、分产品产量、单位产量排放、与 demo 产品的绑定关系,证据映射 + 核验映射,可部分引用，但“占比图”不能替代工厂级报送字段
2022 Carbon Accounting Report,按产品类型划分的排放占比,产品类型级（cell/module/pack/others）,Scope 1 + Scope 2 emissions by product type,说明 CATL 已有产品类型视角,cell/module/pack 这种粗分口径,具体 pack 型号、BOM、pack capacity、具体产品声明周期,字段映射,可作为过渡桥梁，但仍远不足以直接形成电池护照字段
2025 ESG 报告“供应链管理”章节,供应商行为准则、可持续发展协议、负责任矿产政策,政策/协议级,100% 供应商签署《供应商行为准则》；关键供应商《可持续发展协议》签署率 100%,直接支撑 due diligence 公开层,政策链接、协议覆盖率、覆盖议题清单,按供应商、按物料、按工厂的协议编号、有效期、签署状态、尽调结果,证据映射 + 核验映射,政策类内容可直接引用，但不能替代供应商级证据
