类别,字段代码,手动输入项（中文）,英文对应,单位,示例值,实际输入值,说明,常见证据,主要影响输出
A. 基本身份,manufacturer_name,制造商名称,manufacturer name,文本,CATL,CATL,公司主体识别字段,营业执照/年报,EU+CBAM
A. 基本身份,product_name,演示产品名称,demo product name,文本,神行 PLUS CTP 动力电池包（Demo）,神行 PLUS CTP 动力电池包（Demo）,比赛讲述用产品名,产品主数据,EU
A. 基本身份,model_code,电池型号代码,battery model identifier,文本,SXP-CTP-PACK-DEMO-01,SXP-CTP-PACK-DEMO-01,四层映射的产品锚点,型号注册表,EU+CBAM
A. 基本身份,battery_category,产品类别,battery category,文本,EV battery,EV battery,动力电池场景,技术规格书,EU
A. 基本身份,chemistry,化学体系,chemistry,文本,LFP（磷酸铁锂）,LFP（磷酸铁锂）,影响材料追踪范围,BOM/规格书,EU+CBAM
A. 基本身份,plant_code,制造工厂代码,plant code,文本,CN-JS-PLANT-DEMO-01,CN-JS-PLANT-DEMO-01,EU 强调 plant 级,工厂注册表,EU+CBAM
A. 基本身份,plant_name,制造工厂名称,plant name,文本,江苏时代（Demo）,江苏时代（Demo）,便于人读,工厂主数据,EU
A. 基本身份,reporting_period,产品报告期,reporting period,文本,2025Q4,2025Q4,要从年报周期转成产品周期,排产记录,EU+CBAM
A. 基本身份,pack_capacity_kwh,电池包额定容量,pack capacity,kWh,72,72,用于转换 kgCO2e/kWh,规格书/测试报告,EU
A. 基本身份,nominal_voltage_v,标称电压,nominal voltage,V,800,800,产品公开参数,规格书/测试报告,EU
A. 基本身份,cycle_life_cycles,循环寿命,cycle life,cycles,4000,4000,护照参数层,测试报告,EU
A. 基本身份,individual_battery_prefix,个体电池编码前缀,battery prefix,文本,SXP25Q4,SXP25Q4,用于序列化,序列化规则,EU
A. 基本身份,due_diligence_policy_url,尽调政策链接,due diligence policy URL,文本,https://www.catl.com/,https://www.catl.com/,尽调公开字段,政策文件/官网,EU
A. 基本身份,qr_object_id,护照对象 ID,passport object id,文本,passport-demo-001,passport-demo-001,数字护照对象键,护照系统对象 ID,EU
B. 合规准备状态,pcf_study_status,产品碳足迹研究底稿状态,PCF study status,文本,齐备,齐备,碳足迹声明底稿是否齐备,PCF 研究底稿,EU
B. 合规准备状态,test_report_status,测试报告状态,test report status,文本,齐备,齐备,正式合规评估硬材料,测试报告原件,EU
B. 合规准备状态,technical_doc_status,技术文档状态,technical documentation status,文本,齐备,齐备,Annex VIII 关键材料,图纸/说明书/计算书,EU
B. 合规准备状态,third_party_verification_status,第三方核验状态,third-party verification status,文本,已核验,已核验,碳足迹/再生料/上游 PCF 关键状态,核验声明,EU+CBAM
B. 合规准备状态,passport_data_package_status,护照数据包状态,passport data package status,文本,齐备,齐备,决定护照对象能否生成,结构化数据包,EU
B. 合规准备状态,access_matrix_status,分层访问矩阵状态,access matrix status,文本,齐备,齐备,保护数据主权的关键控制项,访问矩阵文档,EU+CBAM
B. 合规准备状态,supplier_traceability_coverage_pct,供应链追溯覆盖率,traceability coverage,%,0.92,0.92,越高越能支撑尽调与追溯,追溯台账,EU+CBAM
B. 合规准备状态,supplier_pcf_coverage_pct,供应商 PCF 覆盖率,supplier PCF coverage,%,0.76,0.76,决定上游碳数据基础强度,供应商 PCF 报告,EU+CBAM
B. 合规准备状态,critical_material_scope,关键原材料追溯范围,critical material scope,文本,lithium / graphite / aluminium / copper / steel,lithium / graphite / aluminium / copper / steel,当前 demo 覆盖的关键原材料,BOM/追溯记录,EU+CBAM
C. 材料用量,cathode_mass_kg,正极材料质量,cathode mass,kg/pack,140,140,原材料阶段输入,BOM,EU
C. 材料用量,anode_mass_kg,负极材料质量,anode mass,kg/pack,70,70,原材料阶段输入,BOM,EU
C. 材料用量,electrolyte_mass_kg,电解液质量,electrolyte mass,kg/pack,35,35,原材料阶段输入,BOM,EU
C. 材料用量,separator_mass_kg,隔膜质量,separator mass,kg/pack,12,12,原材料阶段输入,BOM,EU
C. 材料用量,copper_mass_kg,铜材质量,copper mass,kg/pack,50,50,原材料阶段输入,BOM,EU
C. 材料用量,aluminium_mass_kg,铝材质量,aluminium mass,kg/pack,80,80,EU 与 CBAM 共同关注,BOM,EU+CBAM
C. 材料用量,steel_mass_kg,钢材质量,steel mass,kg/pack,30,30,EU 与 CBAM 共同关注,BOM,EU+CBAM
C. 材料用量,plastic_mass_kg,塑料件质量,plastic mass,kg/pack,25,25,原材料阶段输入,BOM,EU
C. 材料用量,other_material_mass_kg,其他材料质量,other material mass,kg/pack,100,100,给 demo 留出杂项空间,BOM,EU
D. 材料排放因子,cathode_pcf,正极材料排放因子,cathode PCF,kgCO2e/kg,5.0,5.0,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU
D. 材料排放因子,anode_pcf,负极材料排放因子,anode PCF,kgCO2e/kg,6.5,6.5,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU
D. 材料排放因子,electrolyte_pcf,电解液排放因子,electrolyte PCF,kgCO2e/kg,8.0,8.0,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU
D. 材料排放因子,separator_pcf,隔膜排放因子,separator PCF,kgCO2e/kg,4.5,4.5,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU
D. 材料排放因子,copper_pcf,铜材排放因子,copper PCF,kgCO2e/kg,3.8,3.8,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU
D. 材料排放因子,aluminium_direct_pcf,铝材直接排放因子,aluminium direct factor,kgCO2e/kg,9.0,9.0,可借用到 CBAM direct emissions,supplier PCF / 安装点数据,EU+CBAM
D. 材料排放因子,aluminium_indirect_pcf,铝材间接排放因子,aluminium indirect factor,kgCO2e/kg,5.0,5.0,可借用到 CBAM indirect emissions,supplier PCF / 电力因子,EU+CBAM
