模块,输出字段,单位,当前结果预览,证据状态,核验层级,访问层级
基本信息,制造商名称,文本,CATL,营业执照/年报,内部确认,公开
基本信息,演示产品名称,文本,神行 PLUS CTP 动力电池包（Demo）,产品主数据,内部确认,公开
基本信息,电池型号,文本,SXP-CTP-PACK-DEMO-01,型号注册表,内部确认,受限
基本信息,产品类别,文本,EV battery,技术规格书,内部确认,公开
基本信息,化学体系,文本,LFP（磷酸铁锂）,BOM/规格书,内部确认,公开
基本信息,制造工厂代码,文本,CN-JS-PLANT-DEMO-01,工厂注册表,内部确认,受限
基本信息,制造工厂名称,文本,江苏时代（Demo）,工厂主数据,内部确认,受限
基本信息,报告期,文本,2025Q4,排产记录,方法复核,受限
产品参数,额定容量(kWh),kWh,72,规格书/测试报告,测试核对,公开
产品参数,标称电压(V),V,800,规格书/测试报告,测试核对,公开
产品参数,循环寿命(cycles),cycles,4000,测试报告,测试核对,公开
碳足迹,声明总碳足迹(kgCO2e/pack),kgCO2e/pack,3525.9574,PCF 研究底稿,第三方/合规核验,公开
碳足迹,声明总碳足迹(kgCO2e/kWh),kgCO2e/kWh,48.9716,PCF 研究底稿,第三方/合规核验,公开
碳足迹,原材料阶段(kgCO2e/kWh),kgCO2e/kWh,44.2361,BOM+supplier PCF,第三方/合规核验,公开
碳足迹,制造阶段(kgCO2e/kWh),kgCO2e/kWh,4.3605,能耗台账+因子,第三方/合规核验,公开
碳足迹,运输阶段(kgCO2e/kWh),kgCO2e/kWh,0.5833,物流记录,方法复核,公开
碳足迹,终端回收阶段(kgCO2e/kWh),kgCO2e/kWh,-0.2083,回收方案/方法学,方法复核,受限
再生材料,再生锂占比,%,8.0%,质量平衡/供应商声明,第三方/合规核验,公开
再生材料,再生钴占比,%,0.0%,质量平衡/供应商声明,第三方/合规核验,公开
再生材料,再生镍占比,%,0.0%,质量平衡/供应商声明,第三方/合规核验,公开
再生材料,再生铅占比,%,0.0%,质量平衡/供应商声明,第三方/合规核验,公开
尽调与追溯,尽调政策链接,文本,https://www.catl.com/,政策文件/官网,合规复核,公开
尽调与追溯,关键原材料追溯范围,文本,lithium / graphite / aluminium / copper / steel,BOM/追溯记录,第三方抽查,受限
尽调与追溯,供应链追溯覆盖率,%,92.0%,追溯台账,第三方抽查,受限
文件与护照,产品碳足迹研究底稿状态,文本,齐备,PCF 研究底稿,第三方/合规核验,受限
文件与护照,测试报告状态,文本,齐备,测试报告原件,公告机构/正式合规评估,仅公告机构/监管
文件与护照,技术文档状态,文本,齐备,图纸/说明书/计算书,公告机构/正式合规评估,仅公告机构/监管
文件与护照,护照对象 ID,文本,passport-demo-001,结构化数据包,系统一致性校验,分层
文件与护照,个体电池编码前缀,文本,SXP25Q4,序列化系统,系统校验,合法利益相关方
综合状态,EU 输出完备度,%,100.0%,多字段综合判断,系统计算,内部
综合状态,EU 输出结论,文本,可直接讲给评委,多字段综合判断,系统计算,内部
